"(N_r,N_c)",I,m,hat n,transformation,quantization,encoding,mapping,seed,w,nmse_narma_20
"(16, 32)",4,3,1,scale_offset,scale_offset,subtractive,random,42,"(0,)",1.0021089420719265
"(16, 32)",4,3,1,scale_offset,scale_offset,subtractive,random,42,"(1,)",1.002138635297844
"(16, 32)",4,3,1,scale_offset,scale_offset,subtractive,random,42,"(2,)",1.0020193020953436
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 1)",0.8446396785532525
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 2)",0.8470529767486543
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 1)",1.034632787703656
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 2)",1.029591003616212
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 1)",1.0248155392089324
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 2)",1.01800890797431
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0)",0.8587965893848912
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1)",1.0156119800547057
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2)",1.0128561420646884
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0)",1.028085349437702
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1)",1.015709658379684
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2)",1.0170363436181618
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0)",1.019605946267338
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1)",0.9995642705771812
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2)",1.03230022694821
