"(N_r,N_c)",I,m,hat n,transformation,quantization,encoding,mapping,seed,w,nmse_nonlin_channel
"(16, 32)",4,3,1,scale_offset,scale_offset,subtractive,random,42,"(0,)",1.0004446002391714
"(16, 32)",4,3,1,scale_offset,scale_offset,subtractive,random,42,"(1,)",0.9994391259067572
"(16, 32)",4,3,1,scale_offset,scale_offset,subtractive,random,42,"(2,)",0.9993890001219062
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 1)",0.8941508932278088
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 2)",0.8922970014387132
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 1)",1.0258206783054735
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 2)",1.02259127691689
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 1)",1.0071375292857776
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 2)",1.024270276058943
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0)",0.9037515990962912
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1)",1.023005008098831
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2)",1.0363771810008091
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0)",1.0155827500523529
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1)",1.0202600078550237
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2)",1.0257093811472422
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0)",1.0188112429114198
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1)",1.0195265747981743
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2)",1.0116243005443133
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0)",0.8960601920833503
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1)",1.030229151710212
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2)",1.0234984167528975
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0)",1.0097282995060544
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1)",1.014819854969249
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2)",1.0110672564080132
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0)",1.0059363216211266
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 1)",1.0283181133834118
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 2)",1.0212375342785611
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 0, 0, 1)",0.8816086927596141
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 0, 0, 2)",0.8826564703710702
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 0, 1, 1)",1.0248679969678902
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 0, 1, 2)",1.020123287455027
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 0, 2, 1)",1.0183461291872549
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 0, 2, 2)",1.0052531889938447
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 1, 0, 1)",1.0312108878715365
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 1, 0, 2)",1.0418461572696422
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 1, 1, 1)",1.0245078100128693
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 1, 1, 2)",1.036172875104446
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 1, 2, 1)",1.028156071403855
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 1, 2, 2)",1.021911187328996
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 2, 0, 1)",1.0490370948672212
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 2, 0, 2)",1.0248150110351026
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 2, 1, 1)",1.0079187773842238
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 2, 1, 2)",1.0320152864386494
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 2, 2, 1)",1.0289730722793498
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 2, 2, 2)",1.0209096943603906
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 0, 0, 1)",1.020470897225964
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 0, 0, 2)",1.0227275179799125
