"(N_r,N_c)",I,m,hat n,transformation,quantization,encoding,mapping,seed,w,nmse_ppst
"(16, 32)",4,3,1,scale_offset,scale_offset,subtractive,random,42,"(0,)",1.0130661485987698
"(16, 32)",4,3,1,scale_offset,scale_offset,subtractive,random,42,"(1,)",0.94812073328139
"(16, 32)",4,3,1,scale_offset,scale_offset,subtractive,random,42,"(2,)",0.9922458717289396
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 1)",0.7095615526562113
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 2)",0.6828526596189778
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 1)",1.032016603849389
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 2)",1.040848774250943
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 1)",1.0430330286299767
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 2)",1.0253637958933104
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0)",0.6783888856132957
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1)",1.0415599335453087
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2)",1.0390416834897829
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0)",1.0318742468798765
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1)",1.0379679313612626
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2)",1.03869133915612
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0)",1.0235626508067543
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1)",1.0506087281371117
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2)",1.0401706545216214
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0)",0.6346454380741201
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1)",1.034915597474328
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2)",1.0572235327247488
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0)",1.038119914502304
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1)",1.0333330367700622
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2)",1.0256247003876555
