"(N_r,N_c)",I,m,hat n,transformation,quantization,encoding,mapping,seed,w,nmse_ppst_10
"(16, 32)",4,3,1,scale_offset,scale_offset,subtractive,random,42,"(0,)",1.012508950463041
"(16, 32)",4,3,1,scale_offset,scale_offset,subtractive,random,42,"(1,)",0.9580064373080044
"(16, 32)",4,3,1,scale_offset,scale_offset,subtractive,random,42,"(2,)",0.996468524610282
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 1)",0.8172108393326497
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 2)",0.8001514470748344
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 1)",1.0329826712669217
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 2)",1.0521783342037274
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 1)",1.045165573432538
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 2)",1.0251492290417124
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0)",0.7980690343723943
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1)",1.0437406192217595
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2)",1.0396296831178833
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0)",1.0438208107471394
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1)",1.033361694410604
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2)",1.0321745238916131
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0)",1.016285777403834
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1)",1.0471702805620524
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2)",1.0475714457147485
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0)",0.7741589882203997
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1)",1.0344385737241255
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2)",1.0575104159159374
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0)",1.0323858100517818
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1)",1.0341755576009004
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2)",1.030577554854484
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0)",1.0338458777294084
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 1)",1.030638505732927
